Wed Jan  7 14:08:20 2026    branch/profil/profiling_results.prof

         1450306 function calls (1450256 primitive calls) in 16.460 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   16.460   16.460 {built-in method builtins.exec}
        1    0.000    0.000   16.460   16.460 <string>:1(<module>)
        1    0.002    0.002   16.383   16.383 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:368(run_ovos)
       89    0.023    0.000   15.370    0.173 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:223(orbital_optimization)
    12816    0.423    0.000    6.716    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:273(hessian)
   929160    6.355    0.000    6.355    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:246(second_order_density_matrix_element)
      267    0.020    0.000    5.092    0.019 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/cc/addons.py:20(spatial2spin)
      890    5.044    0.006    5.056    0.006 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:506(takebak_2d)
       89    0.003    0.000    3.393    0.038 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/cc/addons.py:85(spin2spatial)
      178    3.384    0.019    3.390    0.019 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:478(take_2d)
       89    0.083    0.001    1.001    0.011 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:92(MP2_energy)
       89    0.002    0.000    0.739    0.008 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/linalg/_matfuncs.py:233(expm)
       89    0.732    0.008    0.732    0.008 {built-in method scipy.linalg._matfuncs_expm.pade_UV_calc}
   256320    0.109    0.000    0.109    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:173(t1)
      267    0.001    0.000    0.086    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/ao2mo/__init__.py:322(kernel)
      267    0.000    0.000    0.085    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/ao2mo/__init__.py:167(general)
