Wed Jan  7 21:12:38 2026    branch/profil/profiling_results_opt_A.prof

         1980528 function calls (1980478 primitive calls) in 38.232 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   38.232   38.232 {built-in method builtins.exec}
        1    0.000    0.000   38.232   38.232 <string>:1(<module>)
        1    0.011    0.011   38.179   38.179 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:365(run_ovos)
      344    0.222    0.001   34.147    0.099 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:219(orbital_optimization)
     1032    0.048    0.000   21.271    0.021 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/cc/addons.py:20(spatial2spin)
     3440   21.135    0.006   21.194    0.006 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:506(takebak_2d)
      344    0.019    0.000   11.974    0.035 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/cc/addons.py:85(spin2spatial)
      688   11.934    0.017   11.954    0.017 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:478(take_2d)
      344    0.348    0.001    3.967    0.012 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:88(MP2_energy)
      344    0.011    0.000    1.733    0.005 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/linalg/_matfuncs.py:233(expm)
      344    1.705    0.005    1.705    0.005 {built-in method scipy.linalg._matfuncs_expm.pade_UV_calc}
    49536    1.511    0.000    1.511    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:271(hessian)
   990720    0.417    0.000    0.417    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:169(t1)
     1032    0.002    0.000    0.359    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/ao2mo/__init__.py:322(kernel)
     1032    0.002    0.000    0.354    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/ao2mo/__init__.py:167(general)
     1032    0.004    0.000    0.352    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/ao2mo/incore.py:68(general)
     1032    0.015    0.000    0.345    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:224(einsum)
     1032    0.058    0.000    0.266    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:742(einsum_path)
     1032    0.029    0.000    0.125    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:328(_greedy_path)
     1060    0.016    0.000    0.093    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/_lib/_util.py:1203(wrapper)
      688    0.035    0.000    0.074    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/linalg/_decomp.py:114(eig)
     4128    0.074    0.000    0.074    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:255(gradient)
    10320    0.016    0.000    0.072    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:222(_parse_possible_contraction)
      688    0.003    0.000    0.064    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/numeric.py:2279(allclose)
     4128    0.010    0.000    0.061    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:101(_contract)
      688    0.027    0.000    0.056    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/numeric.py:2373(isclose)
      696    0.054    0.000    0.054    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.053    0.053 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:36(__init__)
        1    0.000    0.000    0.051    0.051 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/misc.py:630(run)
        1    0.000    0.000    0.051    0.051 <string>:1(kernel)
        1    0.000    0.000    0.051    0.051 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1988(scf)
     4194    0.002    0.000    0.047    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:1057(einsum)
     4194    0.045    0.000    0.045    0.000 {built-in method numpy._core._multiarray_umath.c_einsum}
        1    0.000    0.000    0.044    0.044 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:47(kernel)
    16982    0.010    0.000    0.044    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/_internal.py:280(data_as)
    15480    0.032    0.000    0.040    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:88(_find_contraction)
    16996    0.034    0.000    0.034    0.000 /usr/lib/python3.12/ctypes/__init__.py:517(cast)
     4128    0.022    0.000    0.030    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:443(_can_dot)
     2762    0.004    0.000    0.030    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2589(all)
     2784    0.008    0.000    0.026    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:89(_wrapreduction_any_all)
   255081    0.025    0.000    0.025    0.000 {built-in method builtins.len}
      344    0.016    0.000    0.024    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:557(inv)
    24443    0.022    0.000    0.022    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.022    0.022 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/uhf.py:843(get_init_guess)
        1    0.000    0.000    0.022    0.022 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1937(get_init_guess)
        1    0.000    0.000    0.022    0.022 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/uhf.py:852(init_guess_by_minao)
        1    0.000    0.000    0.021    0.021 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:347(init_guess_by_minao)
    12384    0.007    0.000    0.020    0.000 {built-in method builtins.sum}
    16512    0.008    0.000    0.020    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:21(_flop_count)
      737    0.004    0.000    0.020    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/_lib/_util.py:410(_asarray_validated)
        2    0.000    0.000    0.020    0.010 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:365(minao_basis)
        2    0.000    0.000    0.019    0.010 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/gto/basis/__init__.py:579(load)
        2    0.000    0.000    0.019    0.009 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/gto/basis/parse_nwchem.py:98(load)
        2    0.000    0.000    0.019    0.009 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/gto/basis/parse_nwchem.py:156(search_seg)
    57792    0.018    0.000    0.018    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:59(_compute_size_by_dict)
     3539    0.017    0.000    0.017    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    16982    0.015    0.000    0.015    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/_internal.py:263(__init__)
     2112    0.002    0.000    0.014    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/_methods.py:66(_all)
     3838    0.014    0.000    0.014    0.000 {built-in method numpy.zeros}
   100865    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
      736    0.004    0.000    0.012    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:598(asarray_chkfinite)
     4216    0.012    0.000    0.012    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     1376    0.004    0.000    0.011    0.000 {method 'all' of 'numpy.generic' objects}
    30960    0.006    0.000    0.011    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:268(<genexpr>)
     1032    0.007    0.000    0.011    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:553(_parse_einsum_input)
      695    0.006    0.000    0.010    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/linalg/lapack.py:1025(_compute_lwork)
       14    0.000    0.000    0.009    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/gto/moleintor.py:41(getints)
       13    0.000    0.000    0.009    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/gto/mole.py:3475(intor)
    13138    0.008    0.000    0.009    0.000 {built-in method builtins.isinstance}
        2    0.009    0.004    0.009    0.005 {method 'read' of '_io.TextIOWrapper' objects}
       12    0.008    0.001    0.009    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/gto/moleintor.py:475(getints2c)
     1043    0.004    0.000    0.008    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:1390(tag_array)
        9    0.000    0.000    0.008    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1844(dump_chk)
        9    0.000    0.000    0.008    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/chkfile.py:28(dump_scf)
    48504    0.008    0.000    0.008    0.000 {method 'count' of 'str' objects}
        8    0.000    0.000    0.008    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/gto/mole.py:3555(intor_symmetric)
      736    0.001    0.000    0.007    0.000 {method 'all' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.007    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/chkfile.py:76(dump)
        2    0.000    0.000    0.006    0.003 /usr/lib/python3.12/re/__init__.py:199(split)
        2    0.006    0.003    0.006    0.003 {method 'split' of 're.Pattern' objects}
        3    0.000    0.000    0.006    0.002 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1830(get_ovlp)
        3    0.000    0.000    0.006    0.002 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:341(get_ovlp)
        1    0.000    0.000    0.006    0.006 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1765(build)
        1    0.000    0.000    0.006    0.006 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1756(check_sanity)
     4528    0.005    0.000    0.006    0.000 {built-in method builtins.min}
       19    0.000    0.000    0.006    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/uhf.py:243(get_fock)
    17544    0.005    0.000    0.005    0.000 {built-in method builtins.max}
      344    0.005    0.000    0.005    0.000 {built-in method scipy.linalg._matfuncs_expm.pick_pade_structure}
      345    0.003    0.000    0.005    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/lib/_twodim_base_impl.py:176(eye)
        7    0.000    0.000    0.005    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/diis.py:48(update)
       11    0.000    0.000    0.004    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/uhf.py:971(get_veff)
    24768    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
     1041    0.002    0.000    0.004    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/_ufunc_config.py:448(__enter__)
       11    0.000    0.000    0.004    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/uhf.py:952(get_jk)
     7232    0.004    0.000    0.004    0.000 {built-in method builtins.sorted}
       11    0.000    0.000    0.004    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:887(dot_eri_dm)
    46/10    0.000    0.000    0.004    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/chkfile.py:109(save_as_group)
       11    0.001    0.000    0.004    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/_vhf.py:318(incore)
      706    0.001    0.000    0.004    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:1129(argsort)
        7    0.000    0.000    0.004    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/diis.py:119(get_err_vec)
     21/7    0.000    0.000    0.004    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/diis.py:89(get_err_vec_orth)
       57    0.000    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:831(dot)
       15    0.000    0.000    0.003    0.000 {built-in method _functools.reduce}
       57    0.000    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:741(ddot)
    16512    0.003    0.000    0.003    0.000 {method 'isdisjoint' of 'set' objects}
      734    0.001    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
      737    0.000    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/_lib/_sparse.py:10(issparse)
       57    0.003    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:896(_dgemm)
       37    0.000    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/group.py:450(__setitem__)
     2479    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    15480    0.003    0.000    0.003    0.000 {method 'copy' of 'set' objects}
      702    0.003    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/linalg/lapack.py:1059(_check_work_float)
     3440    0.002    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/numeric.py:2465(<genexpr>)
     1398    0.003    0.000    0.003    0.000 {method 'view' of 'numpy.ndarray' objects}
       19    0.000    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/misc.py:1170(__init__)
       37    0.000    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/group.py:74(create_dataset)
        4    0.003    0.001    0.003    0.001 {built-in method _io.open}
      346    0.001    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/numerictypes.py:475(issubdtype)
      718    0.002    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/linalg/blas.py:395(getter)
     4641    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
       19    0.000    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/files.py:382(__init__)
    20979    0.002    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:1049(_einsum_dispatcher)
     1449    0.002    0.000    0.002    0.000 {built-in method builtins.abs}
      706    0.002    0.000    0.002    0.000 {method 'argsort' of 'numpy.ndarray' objects}
