Fri Jan  9 11:23:00 2026    branch/profil/profiling_results_opt_B.prof

         1566812 function calls (1566762 primitive calls) in 36.840 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   36.840   36.840 {built-in method builtins.exec}
        1    0.000    0.000   36.839   36.839 <string>:1(<module>)
        1    0.010    0.010   36.795   36.795 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:363(run_ovos)
      272    0.190    0.001   33.133    0.122 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:220(orbital_optimization)
      816    0.244    0.000   20.238    0.025 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/cc/addons.py:20(spatial2spin)
     2720   19.875    0.007   19.967    0.007 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:506(takebak_2d)
      272    0.009    0.000    7.094    0.026 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/cc/addons.py:85(spin2spatial)
      544    7.072    0.013    7.084    0.013 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:478(take_2d)
      272    0.010    0.000    5.913    0.022 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/linalg/_matfuncs.py:233(expm)
      272    5.883    0.022    5.883    0.022 {built-in method scipy.linalg._matfuncs_expm.pade_UV_calc}
      272    0.263    0.001    3.590    0.013 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:92(MP2_energy)
    39168    1.297    0.000    1.297    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:272(hessian)
      272    0.853    0.003    0.857    0.003 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/linalg/linalg.py:492(inv)
   783360    0.338    0.000    0.338    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:170(t1)
      816    0.002    0.000    0.304    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/ao2mo/__init__.py:322(kernel)
      816    0.002    0.000    0.302    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/ao2mo/__init__.py:167(general)
      816    0.003    0.000    0.300    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/ao2mo/incore.py:68(general)
      816    0.013    0.000    0.295    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:224(einsum)
      816    0.044    0.000    0.217    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:706(einsum_path)
      816    0.023    0.000    0.105    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:312(_greedy_path)
      844    0.018    0.000    0.081    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/_lib/_util.py:1203(wrapper)
      544    0.003    0.000    0.070    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/numeric.py:2170(allclose)
      544    0.011    0.000    0.064    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/numeric.py:2249(isclose)
     3264    0.063    0.000    0.063    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:256(gradient)
     8160    0.016    0.000    0.063    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:215(_parse_possible_contraction)
      552    0.063    0.000    0.063    0.000 {built-in method builtins.print}
     3264    0.009    0.000    0.062    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:101(_contract)
      544    0.030    0.000    0.061    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/linalg/_decomp.py:114(eig)
    19411    0.053    0.000    0.053    0.000 {built-in method numpy.asarray}
     3330    0.002    0.000    0.050    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:1009(einsum)
     3330    0.048    0.000    0.048    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
        1    0.000    0.000    0.044    0.044 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:36(__init__)
        1    0.000    0.000    0.043    0.043 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/misc.py:630(run)
        1    0.000    0.000    0.043    0.043 <string>:1(kernel)
        1    0.000    0.000    0.043    0.043 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1986(scf)
        1    0.000    0.000    0.041    0.041 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:47(kernel)
    13526    0.007    0.000    0.033    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/_internal.py:267(data_as)
