Fri Jan  9 15:36:56 2026    branch/profil/profiling_results_opt_C.prof

         1596940 function calls (1596890 primitive calls) in 36.329 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   36.329   36.329 {built-in method builtins.exec}
        1    0.000    0.000   36.329   36.329 <string>:1(<module>)
        1    0.008    0.008   36.284   36.284 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:371(run_ovos)
      288    0.203    0.001   32.216    0.112 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:223(orbital_optimization)
      864    0.117    0.000   21.166    0.024 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/cc/addons.py:20(spatial2spin)
     2880   20.919    0.007   21.018    0.007 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:506(takebak_2d)
      288    0.021    0.000    7.642    0.027 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/cc/addons.py:85(spin2spatial)
      576    7.597    0.013    7.621    0.013 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:478(take_2d)
      288    0.249    0.001    4.006    0.014 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:105(MP2_energy)
      288    0.012    0.000    3.749    0.013 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/linalg/_matfuncs.py:233(expm)
      288    3.713    0.013    3.713    0.013 {built-in method scipy.linalg._matfuncs_expm.pade_UV_calc}
    41472    1.308    0.000    1.308    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:271(hessian)
      288    1.013    0.004    1.017    0.004 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/linalg/linalg.py:492(inv)
   829440    0.347    0.000    0.347    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/./ovos.py:183(t1)
      864    0.002    0.000    0.309    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/ao2mo/__init__.py:322(kernel)
      864    0.002    0.000    0.307    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/ao2mo/__init__.py:167(general)
      864    0.004    0.000    0.305    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/ao2mo/incore.py:68(general)
