         199956 function calls (199900 primitive calls) in 0.448 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    0.400    0.400 ovos_start_over.py:1518(run_ovos)
       22    0.029    0.001    0.320    0.015 ovos_start_over.py:320(MP2_energy)
       22    0.197    0.009    0.199    0.009 ovos_start_over.py:277(spatial_2_spin_eri_optimized)
       69    0.000    0.000    0.079    0.001 __init__.py:167(general)
       69    0.000    0.000    0.079    0.001 incore.py:68(general)
       66    0.000    0.000    0.078    0.001 __init__.py:322(kernel)
       21    0.002    0.000    0.078    0.004 ovos_start_over.py:680(orbital_optimization)
       66    0.001    0.000    0.078    0.001 numpy_helper.py:224(einsum)
      500    0.001    0.000    0.070    0.000 einsumfunc.py:1009(einsum)
      264    0.001    0.000    0.061    0.000 numpy_helper.py:101(_contract)
      500    0.061    0.000    0.061    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
       21    0.011    0.001    0.049    0.002 ovos_start_over.py:1022(compute_hessian_optimized)
        1    0.000    0.000    0.048    0.048 ovos_start_over.py:46(__init__)
        2    0.000    0.000    0.040    0.020 misc.py:630(run)
        1    0.000    0.000    0.039    0.039 <string>:1(kernel)
        1    0.000    0.000    0.039    0.039 hf.py:1986(scf)
        1    0.000    0.000    0.038    0.038 hf.py:47(kernel)
     2920    0.011    0.000    0.032    0.000 index_tricks.py:34(ix_)
      192    0.005    0.000    0.021    0.000 einsumfunc.py:706(einsum_path)
        1    0.000    0.000    0.019    0.019 uhf.py:843(get_init_guess)
        1    0.000    0.000    0.019    0.019 hf.py:1935(get_init_guess)
        1    0.000    0.000    0.019    0.019 uhf.py:852(init_guess_by_minao)
        1    0.000    0.000    0.019    0.019 hf.py:345(init_guess_by_minao)
        2    0.000    0.000    0.017    0.009 hf.py:363(minao_basis)
        2    0.000    0.000    0.017    0.009 __init__.py:579(load)
        2    0.000    0.000    0.016    0.008 parse_nwchem.py:98(load)
        2    0.000    0.000    0.016    0.008 parse_nwchem.py:156(search_seg)
    11619    0.006    0.000    0.013    0.000 numerictypes.py:357(issubdtype)
       96    0.004    0.000    0.009    0.000 _util.py:1203(wrapper)
       15    0.000    0.000    0.009    0.001 moleintor.py:41(getints)
       14    0.000    0.000    0.009    0.001 mole.py:3448(intor)
       22    0.004    0.000    0.008    0.000 ovos_start_over.py:523(compute_mp1_amplitudes_optimized)
       10    0.000    0.000    0.008    0.001 hf.py:1842(dump_chk)
       10    0.000    0.000    0.008    0.001 chkfile.py:28(dump_scf)
       66    0.002    0.000    0.008    0.000 einsumfunc.py:312(_greedy_path)
        2    0.008    0.004    0.008    0.004 moleintor.py:603(getints4c)
        2    0.007    0.003    0.007    0.003 {method 'read' of '_io.TextIOWrapper' objects}
       21    0.007    0.000    0.007    0.000 linalg.py:1090(eigvalsh)
    23238    0.004    0.000    0.007    0.000 numerictypes.py:283(issubclass_)
       11    0.000    0.000    0.007    0.001 chkfile.py:76(dump)
        2    0.000    0.000    0.006    0.003 __init__.py:199(split)
        2    0.006    0.003    0.006    0.003 {method 'split' of 're.Pattern' objects}
      318    0.006    0.000    0.006    0.000 {built-in method numpy.zeros}
      660    0.001    0.000    0.005    0.000 einsumfunc.py:215(_parse_possible_contraction)
       21    0.001    0.000    0.005    0.000 ovos_start_over.py:731(compute_D_ab_optimized)
       21    0.000    0.000    0.005    0.000 _matfuncs.py:233(expm)
       21    0.001    0.000    0.005    0.000 ovos_start_over.py:831(compute_gradient_optimized)
       74    0.003    0.000    0.005    0.000 _decomp.py:284(eigh)
    15135    0.004    0.000    0.004    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    51/11    0.000    0.000    0.004    0.000 chkfile.py:109(save_as_group)
       12    0.000    0.000    0.004    0.000 uhf.py:971(get_veff)
       21    0.000    0.000    0.004    0.000 uhf.py:243(get_fock)
